review_id,publication_number,title,candidate_type,method_name,llm_candidate_score,human_candidate_score,llm_final_label,human_final_label,llm_confidence,human_modified_flag,llm_reviewer_comment_short,human_reviewer_comment,score_delta_human_minus_llm,label_agreement,score_agreement
MR0001,CN108140650A,X-RAY DETECTOR WITH HIGH SPATIAL RESOLUTION; 具有高空间解析度的X射线检测器,proposed_top,画像セグメンテーション,3,0,◎,×,high,1,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,X線検出器の構造に関する特許であり、画像セグメンテーションや製造欠陥検出の候補としては弱い。technical_meansも本文内容とずれている。,-3,False,False
MR0002,CN114638777B,"IMAGE DEFECT DETECTION METHOD, DEVICE, ELECTRONIC EQUIPMENT AND MEDIUM; 图像瑕疵检测方法、装置、电子设备及介质",proposed_top,画像生成・再構成,3,2,◎,○,low,1,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,画像瑕疵検出を対象としており、CNN等を用いた欠陥判定として製造欠陥検出候補として妥当である。ただしmethod_nameの画像生成・再構成はやや広い。,-1,False,False
MR0003,CN114638777A,"IMAGE DEFECT DETECTION METHOD, DEVICE, ELECTRONIC DEVICE AND MEDIUM; 图像瑕疵检测方法、装置、电子设备及介质",proposed_top,深層学習モデル,3,2,◎,○,low,1,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,MR0002と同一Familyの公開違いであり、内容としては画像瑕疵検出候補として妥当である。ただし代表例としては重複を避け、MR0002を優先する。,-1,False,False
MR0004,IN202321031673A,AN AUTOMATIC SYSTEM FOR ABNORMAL MUSCULOSKELETAL DETECTION AND INTERPRETATION,proposed_top,CNN,1,1,△,△,medium,0,画像中の異常検出・分割とは近いが、医療・健康用途が主題で製造欠陥検出とは対象がずれる。,筋骨格X線画像の異常検出であり、画像異常検出という課題水準では近いが、対象が医療画像であるため製造欠陥検出候補としては弱い。,0,True,True
MR0005,CN111527517B,IMAGE PROCESSING DEVICE AND CONTROL METHOD THEREOF; 图像处理装置及其控制方法,proposed_top,画像処理システム,2,1,○,△,low,1,課題との接点はあるが、技術手段が一般語寄りで具体的な候補としては慎重な確認が必要である。,画像変化検出・画像生成に関する特許であり、画像処理候補としては関係するが、製造欠陥検出との直接対応は弱い。,-1,False,False
MR0006,BR102023015958A2,"METHODS FOR TRAINING A NEURAL NETWORK AND FOR DETECTING ANOMALIES IN A MANUFACTURING PRODUCT, INSPECTION SYSTEM FOR DETECTING ANOMALIES IN A MANUFACTURING PRODUCT, AND, NON-TRANSITORY COMPUTER-READABLE MEDIA; MÉTODOS PARA TREINAMENTO DE UMA REDE NEURAL E PARA DETECÇÃO DE ANOMALIAS EM UM PRODUTO DE MANUFATURA, SISTEMA DE INSPEÇÃO PARA DETECÇÃO DE ANOMALIAS EM UM PRODUTO DE MANUFATURA, E, MÍDIA LEGÍVEL POR COMPUTADOR NÃO TRANSITÓRIA",proposed_top,機械学習モデル,3,2,◎,○,low,1,製造物や設備の欠陥・異常検出を画像処理で扱っており、専門家確認候補として強い。,製造物の異常検出のためのニューラルネットワーク学習方法であり、対象分野との対応は強い。ただしproblem_contextが空欄で、技術手段も一般的である。,-1,False,False
MR0007,IN202441071385A,A SYSTEM AND A METHOD FOR HYBRID NOISE REMOVAL IN INFRARED IMAGES,proposed_top,U-Net,1,1,△,△,medium,0,画像中の異常検出・分割とは近いが、医療・健康用途が主題で製造欠陥検出とは対象がずれる。,U-Netを用いた赤外画像ノイズ除去であり、画像前処理としては参考になるが、欠陥検出そのものではないため代表候補としては弱い。,0,True,True
MR0008,CN119541624A,A DISEASE SURVIVAL PREDICTION METHOD BASED ON MULTI-SCALE PATHOLOGICAL IMAGES AND MULTI-MODAL DATA; 一种基于多尺度病理图像与多模态数据的疾病生存预测方法,proposed_top,k-means,0,0,×,×,high,0,画像中の異常検出・分割とは近いが、医療・健康用途が主題で製造欠陥検出とは対象がずれる。,病理画像とマルチモーダルデータによる疾患生存予測が主題であり、製造欠陥検出とは課題・対象が大きく異なる。,0,True,True
MR0009,CN118538411A,A METHOD AND SYSTEM FOR INTELLIGENT ANALYSIS AND HEIGHT PREDICTION BASED ON CHILDREN'S METACARPAL AND CARPAL X-RAYS; 一种基于儿童掌骨和腕骨X片的智能分析及身高预测方法及系统,proposed_top,random forest,1,0,△,×,medium,1,画像中の異常検出・分割とは近いが、医療・健康用途が主題で製造欠陥検出とは対象がずれる。,小児X線画像を用いた身長予測・骨発育分析が主題であり、画像処理手法は含むが製造欠陥検出候補としては不適切である。,-1,False,False
MR0010,CN117309874A,A PERFORMANCE TESTING METHOD FOR TWISTED PAIR CABLES; 一种双绞电缆的性能测试方法,proposed_top,信号処理,1,1,△,△,medium,0,画像処理や異常検出の要素はあるが、主題が製造欠陥検出から離れており代表例としては弱い。,ケーブル画像の外観検査を含むため一部関連するが、主題は電気信号性能試験であり、画像欠陥検出の代表候補としては弱い。,0,True,True
